Sample in Buffer,Sample in Window,TRIGGER,Brik1_u/PilotImag[17:0],Brik1_u/PilotReal[17:0]
0,0,0,-35648,114014
1,1,0,-35648,114014
2,2,0,-35648,114014
3,3,0,-35648,114014
4,4,0,-18737,114737
5,5,0,-18737,114737
6,6,0,-18737,114737
7,7,0,-18737,114737
8,8,0,8056,111862
9,9,0,8056,111862
10,10,0,8056,111862
11,11,0,8056,111862
12,12,0,8056,111862
13,13,0,8056,111862
14,14,0,8056,111862
15,15,0,8056,111862
16,16,0,12399,126403
17,17,0,12399,126403
18,18,0,12399,126403
19,19,0,12399,126403
20,20,0,-1389,124153
21,21,0,-1389,124153
22,22,0,-1389,124153
23,23,0,-1389,124153
24,24,0,-27781,120866
25,25,0,-27781,120866
26,26,0,-27781,120866
27,27,0,-27781,120866
28,28,0,-53752,103753
29,29,0,-53752,103753
30,30,0,-53752,103753
31,31,0,-53752,103753
32,32,0,-89984,82503
33,33,0,-89984,82503
34,34,0,-89984,82503
35,35,0,-89984,82503
36,36,0,-112971,42392
37,37,0,-112971,42392
38,38,0,-112971,42392
39,39,0,-112971,42392
40,40,0,-104164,6143
41,41,0,-104164,6143
42,42,0,-104164,6143
43,43,0,-104164,6143
44,44,0,-99737,-37408
45,45,0,-99737,-37408
46,46,0,-99737,-37408
47,47,0,-99737,-37408
48,48,0,-87592,-86168
49,49,0,-87592,-86168
50,50,0,-87592,-86168
51,51,0,-87592,-86168
52,52,0,-87592,-86168
53,53,0,-87592,-86168
54,54,0,-87592,-86168
55,55,0,-87592,-86168
56,56,0,6045,-121501
57,57,0,6045,-121501
58,58,0,6045,-121501
59,59,0,6045,-121501
60,60,0,56129,-109545
61,61,0,56129,-109545
62,62,0,56129,-109545
63,63,0,56129,-109545
64,64,0,82259,-83786
65,65,0,82259,-83786
66,66,0,82259,-83786
67,67,0,82259,-83786
68,68,0,103968,-63922
69,69,0,103968,-63922
70,70,0,103968,-63922
71,71,0,103968,-63922
72,72,0,112964,-29605
73,73,0,112964,-29605
74,74,0,112964,-29605
75,75,0,112964,-29605
76,76,0,107275,-11208
77,77,0,107275,-11208
78,78,0,107275,-11208
79,79,0,107275,-11208
80,80,0,108956,4928
81,81,0,108956,4928
82,82,0,108956,4928
83,83,0,108956,4928
84,84,0,122417,10566
85,85,0,122417,10566
86,86,0,122417,10566
87,87,0,122417,10566
88,88,0,122417,10566
89,89,0,122417,10566
90,90,0,122417,10566
91,91,0,122417,10566
92,92,0,131071,-18531
93,93,0,131071,-18531
94,94,0,131071,-18531
95,95,0,131071,-18531
96,96,0,120626,-43122
97,97,0,120626,-43122
98,98,0,120626,-43122
99,99,0,120626,-43122
100,100,0,105622,-89465
101,101,0,105622,-89465
102,102,0,105622,-89465
103,103,0,105622,-89465
104,104,0,78018,-107847
105,105,0,78018,-107847
106,106,0,78018,-107847
107,107,0,78018,-107847
108,108,0,20768,-123374
109,109,0,20768,-123374
110,110,0,20768,-123374
111,111,0,20768,-123374
112,112,0,-21169,-123956
113,113,0,-21169,-123956
114,114,0,-21169,-123956
115,115,0,-21169,-123956
116,116,0,-66248,-102051
117,117,0,-66248,-102051
118,118,0,-66248,-102051
119,119,0,-66248,-102051
120,120,0,-102419,-81172
121,121,0,-102419,-81172
122,122,0,-102419,-81172
123,123,0,-102419,-81172
124,124,0,-102419,-81172
125,125,0,-102419,-81172
126,126,0,-102419,-81172
127,127,0,-102419,-81172
128,128,0,-131072,-10058
129,129,0,-131072,-10058
130,130,0,-131072,-10058
131,131,0,-131072,-10058
132,132,0,-127665,11317
133,133,0,-127665,11317
134,134,0,-127665,11317
135,135,0,-127665,11317
136,136,0,-122848,30721
137,137,0,-122848,30721
138,138,0,-122848,30721
139,139,0,-122848,30721
140,140,0,-120227,20319
141,141,0,-120227,20319
142,142,0,-120227,20319
143,143,0,-120227,20319
144,144,0,-114934,9767
145,145,0,-114934,9767
146,146,0,-114934,9767
147,147,0,-114934,9767
148,148,0,-114388,-14887
149,149,0,-114388,-14887
150,150,0,-114388,-14887
151,151,0,-114388,-14887
152,152,0,-98957,-44860
153,153,0,-98957,-44860
154,154,0,-98957,-44860
155,155,0,-98957,-44860
156,156,0,-82377,-71516
157,157,0,-82377,-71516
158,158,0,-82377,-71516
159,159,0,-82377,-71516
160,160,0,-82377,-71516
161,161,0,-82377,-71516
162,162,0,-82377,-71516
163,163,0,-82377,-71516
164,164,0,-6504,-123387
165,165,0,-6504,-123387
166,166,0,-6504,-123387
167,167,0,-6504,-123387
168,168,0,41341,-110088
169,169,0,41341,-110088
170,170,0,41341,-110088
171,171,0,41341,-110088
172,172,0,87468,-90712
173,173,0,87468,-90712
174,174,0,87468,-90712
175,175,0,87468,-90712
176,176,0,106329,-55664
177,177,0,106329,-55664
178,178,0,106329,-55664
179,179,0,106329,-55664
180,180,0,113349,-31231
181,181,0,113349,-31231
182,182,0,113349,-31231
183,183,0,113349,-31231
184,184,0,116731,-4836
185,185,0,116731,-4836
186,186,0,116731,-4836
187,187,0,116731,-4836
188,188,0,110302,7272
189,189,0,110302,7272
190,190,0,110302,7272
191,191,0,110302,7272
192,192,0,110025,10642
193,193,0,110025,10642
194,194,0,110025,10642
195,195,0,110025,10642
196,196,0,131071,-3351
197,197,0,131071,-3351
198,198,0,131071,-3351
199,199,0,131071,-3351
200,200,0,131071,-3351
201,201,0,131071,-3351
202,202,0,131071,-3351
203,203,0,131071,-3351
204,204,0,127024,-62344
205,205,0,127024,-62344
206,206,0,127024,-62344
207,207,0,127024,-62344
208,208,0,103026,-92846
209,209,0,103026,-92846
210,210,0,103026,-92846
211,211,0,103026,-92846
212,212,0,63960,-120908
213,213,0,63960,-120908
214,214,0,63960,-120908
215,215,0,63960,-120908
216,216,0,27130,-126707
217,217,0,27130,-126707
218,218,0,27130,-126707
219,219,0,27130,-126707
220,220,0,-37190,-122979
221,221,0,-37190,-122979
222,222,0,-37190,-122979
223,223,0,-37190,-122979
224,224,0,-73013,-110406
225,225,0,-73013,-110406
226,226,0,-73013,-110406
227,227,0,-73013,-110406
228,228,0,-95186,-65931
229,229,0,-95186,-65931
230,230,0,-95186,-65931
231,231,0,-95186,-65931
232,232,0,-130280,-42269
233,233,0,-130280,-42269
234,234,0,-130280,-42269
235,235,0,-130280,-42269
236,236,0,-130280,-42269
237,237,0,-130280,-42269
238,238,0,-130280,-42269
239,239,0,-130280,-42269
240,240,0,-131072,27305
241,241,0,-131072,27305
242,242,0,-131072,27305
243,243,0,-131072,27305
244,244,0,-126671,28547
245,245,0,-126671,28547
246,246,0,-126671,28547
247,247,0,-126671,28547
248,248,0,-117386,25680
249,249,0,-117386,25680
250,250,0,-117386,25680
251,251,0,-117386,25680
252,252,0,-119843,4908
253,253,0,-119843,4908
254,254,0,-119843,4908
255,255,0,-119843,4908
256,256,0,-113378,-17117
257,257,0,-113378,-17117
258,258,0,-113378,-17117
259,259,0,-113378,-17117
260,260,0,-105345,-40993
261,261,0,-105345,-40993
262,262,0,-105345,-40993
263,263,0,-105345,-40993
264,264,0,-82184,-71539
265,265,0,-82184,-71539
266,266,0,-82184,-71539
267,267,0,-82184,-71539
268,268,0,-58204,-100341
269,269,0,-58204,-100341
270,270,0,-58204,-100341
271,271,0,-58204,-100341
272,272,0,-58204,-100341
273,273,0,-58204,-100341
274,274,0,-58204,-100341
275,275,0,-58204,-100341
276,276,0,39105,-116791
277,277,0,39105,-116791
278,278,0,39105,-116791
279,279,0,39105,-116791
280,280,0,81440,-87910
281,281,0,81440,-87910
282,282,0,81440,-87910
283,283,0,81440,-87910
284,284,0,110736,-51914
285,285,0,110736,-51914
286,286,0,110736,-51914
287,287,0,110736,-51914
288,288,0,119844,-3631
289,289,0,119844,-3631
290,290,0,119844,-3631
291,291,0,119844,-3631
292,292,0,104725,36511
293,293,0,104725,36511
294,294,0,104725,36511
295,295,0,104725,36511
296,296,0,90969,65767
297,297,0,90969,65767
298,298,0,90969,65767
299,299,0,90969,65767
300,300,0,59441,100837
301,301,0,59441,100837
302,302,0,59441,100837
303,303,0,59441,100837
304,304,0,41822,107328
305,305,0,41822,107328
306,306,0,41822,107328
307,307,0,41822,107328
308,308,0,41822,107328
309,309,0,41822,107328
310,310,0,41822,107328
311,311,0,41822,107328
312,312,0,-1553,126645
313,313,0,-1553,126645
314,314,0,-1553,126645
315,315,0,-1553,126645
316,316,0,-11940,124780
317,317,0,-11940,124780
318,318,0,-11940,124780
319,319,0,-11940,124780
320,320,0,-2903,124627
321,321,0,-2903,124627
322,322,0,-2903,124627
323,323,0,-2903,124627
324,324,0,9849,125276
325,325,0,9849,125276
326,326,0,9849,125276
327,327,0,9849,125276
328,328,0,30346,115697
329,329,0,30346,115697
330,330,0,30346,115697
331,331,0,30346,115697
332,332,0,61034,116489
333,333,0,61034,116489
334,334,0,61034,116489
335,335,0,61034,116489
336,336,0,88463,81576
337,337,0,88463,81576
338,338,0,88463,81576
339,339,0,88463,81576
340,340,0,117275,46364
341,341,0,117275,46364
342,342,0,117275,46364
343,343,0,117275,46364
344,344,0,117275,46364
345,345,0,117275,46364
346,346,0,117275,46364
347,347,0,117275,46364
348,348,0,131071,-64050
349,349,0,131071,-64050
350,350,0,131071,-64050
351,351,0,131071,-64050
352,352,0,99982,-97016
353,353,0,99982,-97016
354,354,0,99982,-97016
355,355,0,99982,-97016
356,356,0,57726,-120050
357,357,0,57726,-120050
358,358,0,57726,-120050
359,359,0,57726,-120050
360,360,0,29338,-124257
361,361,0,29338,-124257
362,362,0,29338,-124257
363,363,0,29338,-124257
364,364,0,-1835,-121762
365,365,0,-1835,-121762
366,366,0,-1835,-121762
367,367,0,-1835,-121762
368,368,0,-9244,-121103
369,369,0,-9244,-121103
370,370,0,-9244,-121103
371,371,0,-9244,-121103
372,372,0,-30423,-111232
373,373,0,-30423,-111232
374,374,0,-30423,-111232
375,375,0,-30423,-111232
